State,State Abv,State Results Website,Electoral College,Hilliary Clinton,Donald Trump,Gary Johnson,Jill Stein,Total Ballots Counted (Estimate),Voting-Eligible Population,Voting-Age Population,Notes
Alabama,AL,http://www.alabamavotes.gov/electionnight/statewideresultsbycontest.aspx?ecode=1000500,9,725704,1314431,44211,9341,2066000,3606103,3773719,
Alaska,AK,http://www.elect.alaska.net/,3,93007,130415,14593,4445,315000,519501,554802,
Arizona,AZ,http://results.arizona.vote/2016/General/n1591/Results-State.html,11,1027540,1115409,90430,23901,2670000,4738332,5332446,
Arkansas,AR,http://results.enr.clarityelections.com/AR/63912/182850/Web01/en/summary.html,6,378632,681765,9406,29593,1127000,2148441,2290976,
California,CA,http://vote.sos.ca.gov/,55,5885891,3173420,305780,164704,13100000,25278803,30523307,
Colorado,CO,http://results.enr.clarityelections.com/CO/63746/182883/Web01/en/summary.html,9,1276358,1165249,35719,136354,2630000,3978892,4319529,
Connecticut,CT,http://ctemspublic.pcctg.net/#/home,7,873534,654351,47439,22076,1600000,2572337,2834267,
Delaware,DE,http://elections.delaware.gov/results/html/election.shtml,3,235581,185103,6100,14751,420000,693659,755123,
District of Columbia,DC,https://www.dcboee.org/election_info/election_results/v3/2016/November-8-General-Election,3,260223,"11,553 ",4501,3995,288000,516771,568165,
Florida,FL,http://enight.elections.myflorida.com/,29,4485745,4605515,206007,64019,9500000,14601373,16601383,No results. Used Google.
Georgia,GA,http://results.enr.clarityelections.com/GA/63991/182885/en/summary.html,16,1868683,2085068,124733,0,4175000,6958725,7852857,
Hawaii,HI,http://elections.hawaii.gov/wp-content/results/histatewide.pdf,4,266828,128816,15949,12727,350000,1029072,1133641,
Idaho,ID,http://www.sos.idaho.gov/ELECT/results/2016/General/ENR/statewide_total.html,4,190383,410269,28369,8506,692000,1161211,1247038,
Illinois,IL,http://illinoiselectiondata.com/projects/2016/2016PresLive.html,20,2989981,2115902,204499,74320,5400000,8983758,9913610,
Indiana,IN,http://www.in.gov/apps/sos/election/general/general2016,11,1036426,1556122,134124,2409,2715000,4860929,5073952,
Iowa,IA,https://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabView=StateRaces^Federal%20/%20Statewide%20Races^86&ElectionID=86,6,650168,796350,58796,11405,1575000,2297129,2413678,
Kansas,KS,http://www.sos.ks.gov/ent/kssos_ent.html,6,414788,656009,53648,22698,1075000,2065761,2206389,
Kentucky,KY,http://results.enr.clarityelections.com/KY/64180/182267/Web01/en/summary.html,8,628834,1202942,53749,13913,1925000,3276707,3430201,
Louisiana,LA,https://voterportal.sos.la.gov/Graphical,8,779674,1178315,37962,14020,2030000,3391431,3582215,
Maine,ME,,4,354873,334838,37764,14075,740000,1058306,1075396,No results. Used Google.
Maryland,MD,http://elections.maryland.gov/elections/2016/results/General/gen_results_2016_4_001-.html,10,1520746,891571,72627,32467,2530000,4202282,4701258,
Massachusetts,MA,,11,1964768,1083069,136784,46910,3253000,4978165,5477195,No results. Used Google.
Michigan,MI,http://miboecfr.nictusa.com/election/results/2016GEN_CENR.html,16,2264807,2277914,172726,51420,4800000,7431589,7754185,
Minnesota,MN,http://electionresults.sos.state.mn.us/Results/President/100?officeInElectionId=10733,10,1367148,1323202,112972,36980,2940000,3972330,4245020,
Mississippi,MS,,6,678457,462001,13789,3580,1165000,2177349,2269052,No results. Used Google.
Missouri,MO,http://enr.sos.mo.gov/enrnet/default.aspx?eid=750003949,10,1054889,1585753,96404,25086,2800000,4519978,4720503,
Montana,MT,http://mtelectionresults.gov/,3,174461,274119,27263,7669,510000,803833,817161,
Nebraska,NE,http://electionresults.sos.ne.gov/,5,273185,485372,37577,8337,835000,1353558,1440465,
Nevada,NV,http://silverstateelection.com/,6,537753,511319,37299,0,1130000,1970426,2282757,
New Hampshire,NH,,4,348126,345598,30530,6374,732000,1041147,1075861,No results. Used Google.
New Jersey,NJ,http://www.state.nj.us/state/elections/2016-results/2016-unofficial-general-results-president.pdf,14,1967444,1509688,66993,35305,3610000,6093144,7003323,
New Mexico,NM,http://electionresults.sos.state.nm.us/,5,38249,317108,74031,9797,800000,1459901,1594305,
New York,NY,http://nyenr.elections.state.ny.us/,29,4149500,2639994,109965,100110,7175000,13693128,15675178,
North Carolina,NC,http://er.ncsbe.gov/?election_dt=11/08/2016&county_id=0&office=FED&contest=0,15,2162821,2339830,127746,692,4750000,7317507,7879993,
North Dakota,ND,http://results.sos.nd.gov/resultsSW.aspx?text=Race&type=SW&map=CTY,3,93526,216133,21351,3769,350000,582534,599062,
Ohio,OH,https://vote.ohio.gov/,18,2317001,2771984,168599,44310,5500000,8753269,9023729,
Oklahoma,OK,https://www.ok.gov/elections/support/ok_results_seb.html,7,420375,949136,83481,0,1455000,2792423,2982904,
Oregon,OR,http://results.oregonvotes.gov/resultsSW.aspx?type=FED&map=CTY,7,965903,758654,89986,47611,1930000,3006638,3237993,
Pennsylvania,PA,http://www.electionreturns.pa.gov/ENR_NEW,20,2841280,2905958,142334,48852,5950000,9737690,10146780,
Rhode Island,RI,http://www.ri.gov/election/results/2016/general_election/,4,250242,179447,14656,6166,425000,786111,849165,
South Carolina,SC,http://www.enr-scvotes.org/SC/64658/182853/en/summary.html,9,854747,1154942,49183,13025,2100000,3702997,3880323,
South Dakota,SD,http://electionresults.sd.gov/,3,117442,227701,20845,,370500,632098,652981,
Tennessee,TN,http://elections.tn.gov/results.php,11,869189,1521162,70286,15954,2500000,4900137,5166504,
